No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
25,65280,SL,Standard,6.8,,50000000,44119993,11.80%,14.71,5.68,"[11.88 , 17.53]",158114,"[136,038 , 183,772]"
26,65280,SL,Standard,6.64,,50000000,49602854,0.80%,,,,,
27,65280,SL,Standard,6.6,,50000000,50973808,1.90%,,,,,
28,65280,SL,Standard,9.88,,5000000,4934162,1.30%,,,,,
29,65280,SL,Standard,9.9,,5000000,4869486,2.60%,,,,,
30,65280,SL,Standard,9.78,,5000000,5295999,5.90%,,,,,
31,65280,SL,Standard,12.95,,500000,554098,10.80%,,,,,
32,65280,SL,Standard,13.05,,500000,517336,3.50%,,,,,
33,65280,SL,Standard,13,,500000,532762,6.60%,,,,,
34,65280,SL,Standard,16.45,,50000,45736,8.50%,,,,,
35,65280,SL,Standard,16.27,,50000,51908,3.80%,,,,,
36,65280,SL,Standard,16.35,,50000,48997,2.00%,,,,,
37,65280,SL,Standard,19.58,,5000,4920,1.60%,,,,,
38,65280,SL,Standard,19.51,,5000,5165,3.30%,,,,,
39,65280,SL,Standard,19.52,,5000,5124,2.50%,,,,,
40,65280,SL,Standard,22.76,,500,511,2.10%,,,,,
41,65280,SL,Standard,22.66,,500,548,9.50%,,,,,
42,65280,SL,Standard,23.05,,500,416,16.90%,,,,,
43,0,ntc,Unknown,,,,,,,,,,
44,0,ntc,Unknown,,,,,,,,,,
45,0,ntc,Unknown,,,,,,,,,,
