No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
49,4259584,SL3,Standard,9.79,,50000000,42900397,14.20%,9.64,0.13,"[9.32 , 9.97]",47358688,"[29,192,291 , 76,830,053]"
50,4259584,SL3,Standard,9.59,,50000000,48984588,2.00%,,,,,
51,4259584,SL3,Standard,9.55,,50000000,50545001,1.10%,,,,,
52,4259584,SL4,Standard,13.15,,5000000,4709872,5.80%,13.09,0.07,"[12.92 , 13.26]",4915418,"[3,412,909 , 7,079,396]"
53,4259584,SL4,Standard,13.1,,5000000,4885889,2.30%,,,,,
54,4259584,SL4,Standard,13.01,,5000000,5160938,3.20%,,,,,
55,4259584,SL5,Standard,16.53,,500000,512370,2.50%,16.53,0.08,"[16.34 , 16.72]",512512,"[384,758 , 682,685]"
56,4259584,SL5,Standard,16.6,,500000,487598,2.50%,,,,,
57,4259584,SL5,Standard,16.45,,500000,538849,7.80%,,,,,
58,4259584,SL6,Standard,19.98,,50000,52953,5.90%,19.95,0.03,"[19.87 , 20.03]",53937,"[40,571 , 71,708]"
59,4259584,SL6,Standard,19.96,,50000,53676,7.40%,,,,,
60,4259584,SL6,Standard,19.91,,50000,55207,10.40%,,,,,
61,4259584,SL7,Standard,23.37,,5000,5684,13.70%,23.39,0.12,"[23.09 , 23.69]",5603,"[3,908 , 8,034]"
62,4259584,SL7,Standard,23.52,,5000,5143,2.90%,,,,,
63,4259584,SL7,Standard,23.28,,5000,6018,20.40%,,,,,
64,4259584,SL8,Standard,27.74,,500,322,35.50%,27.29,0.4,"[26.30 , 28.27]",433,"[264 , 711]"
65,4259584,SL8,Standard,26.99,,500,525,5.00%,,,,,
66,4259584,SL8,Standard,27.13,,500,481,3.80%,,,,,
