No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/ml),Calc Conc (copies/ml),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,255,SL,Standard,7.45,,50000000,41185608,17.60%,15.58,5.92,"[12.64 , 18.53]",158114,"[133,834 , 186,798]"
2,255,SL,Standard,7.16,,50000000,50193140,0.40%,,,,,
3,255,SL,Standard,7.08,,50000000,53236115,6.50%,,,,,
4,255,SL,Standard,10.43,,5000000,5380110,7.60%,,,,,
5,255,SL,Standard,10.57,,5000000,4872269,2.60%,,,,,
6,255,SL,Standard,10.43,,5000000,5369446,7.40%,,,,,
7,255,SL,Standard,13.76,,500000,549365,9.90%,,,,,
8,255,SL,Standard,13.83,,500000,524486,4.90%,,,,,
9,255,SL,Standard,14.08,,500000,441203,11.80%,,,,,
10,255,SL,Standard,17.29,,50000,49219,1.60%,,,,,
11,255,SL,Standard,17.15,,50000,54040,8.10%,,,,,
12,255,SL,Standard,17.33,,50000,47963,4.10%,,,,,
13,255,SL,Standard,20.61,,5000,5069,1.40%,,,,,
14,255,SL,Standard,20.48,,5000,5563,11.30%,,,,,
15,255,SL,Standard,20.71,,5000,4758,4.80%,,,,,
16,255,SL,Standard,24,,500,502,0.50%,,,,,
17,255,SL,Standard,24.01,,500,497,0.50%,,,,,
18,255,SL,Standard,24.15,,500,453,9.40%,,,,,
19,0,ntc,NTC,,,,,,,,,,
20,0,ntc,NTC,,,,,,,,,,
21,0,ntc,NTC,,,,,,,,,,
