No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/ul),Calc Conc (copies/ul),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),19.72,,,62916,,19.93,0.18,"[19.47 , 20.38]",54794,
5,33023,Cal,Calibrator (RQ),20.06,,,50113,,,,,,
6,33023,Cal,Calibrator (RQ),20,,,52179,,,,,,
7,16744448,0121,Unknown,21.82,,,15751,,21.81,0.06,"[21.65 , 21.96]",15896,
8,16744448,0121,Unknown,21.74,,,16633,,,,,,
9,16744448,0121,Unknown,21.86,,,15332,,,,,,
10,16744448,0123,Unknown,24.56,,,2610,,24.6,0.1,"[24.37 , 24.84]",2526,
11,16744448,0123,Unknown,24.54,,,2629,,,,,,
12,16744448,0123,Unknown,24.72,,,2349,,,,,,
13,16744448,0125,Unknown,22.2,,,12303,,22.02,0.18,"[21.57 , 22.48]",13796,
14,16744448,0125,Unknown,21.83,,,15659,,,,,,
15,16744448,0125,Unknown,22.04,,,13629,,,,,,
16,16744448,0127,Unknown,26.8,,,598,,26.85,0.23,"[26.29 , 27.41]",577,
17,16744448,0127,Unknown,27.1,,,490,,,,,,
18,16744448,0127,Unknown,26.66,,,655,,,,,,
19,16744448,0129,Unknown,21.68,,,17318,,21.58,0.09,"[21.34 , 21.81]",18525,
20,16744448,0129,Unknown,21.5,,,19511,,,,,,
21,16744448,0129,Unknown,21.55,,,18815,,,,,,
22,8388863,0131,Unknown,21.7,,,17114,,21.72,0.38,"[20.77 , 22.68]",16795,
23,8388863,0131,Unknown,22.12,,,12924,,,,,,
24,8388863,0131,Unknown,21.35,,,21418,,,,,,
25,8388863,0133,Unknown,21.63,,,17877,,21.8,0.18,"[21.36 , 22.24]",15972,
26,8388863,0133,Unknown,21.79,,,16099,,,,,,
27,8388863,0133,Unknown,21.98,,,14156,,,,,,
28,8388863,0135,Unknown,21.8,,,16023,,22.19,0.37,"[21.28 , 23.10]",12357,
29,8388863,0135,Unknown,22.52,,,9957,,,,,,
30,8388863,0135,Unknown,22.26,,,11826,,,,,,
31,8388863,0137,Unknown,21.08,,,25717,,21.25,0.18,"[20.80 , 21.71]",22871,
32,8388863,0137,Unknown,21.25,,,22996,,,,,,
33,8388863,0137,Unknown,21.44,,,20229,,,,,,
34,8388863,0139,Unknown,21.74,,,16615,,21.52,0.24,"[20.93 , 22.12]",19180,
35,8388863,0139,Unknown,21.27,,,22700,,,,,,
36,8388863,0139,Unknown,21.56,,,18709,,,,,,
37,4210816,0141,Unknown,20.13,,,47762,,20.12,0.02,"[20.07 , 20.16]",48334,
38,4210816,0141,Unknown,20.1,,,48885,,,,,,
39,4210816,0141,Unknown,20.12,,,48362,,,,,,
40,4210816,0143,Unknown,19.96,,,53615,,20.17,0.19,"[19.69 , 20.64]",46728,
41,4210816,0143,Unknown,20.21,,,45426,,,,,,
42,4210816,0143,Unknown,20.33,,,41891,,,,,,
43,4210816,0145,Unknown,21.06,,,26023,,21.2,0.15,"[20.83 , 21.57]",23751,
44,4210816,0145,Unknown,21.18,,,24063,,,,,,
45,4210816,0145,Unknown,21.36,,,21398,,,,,,
46,4210816,0147,Unknown,19.74,,,61954,,19.86,0.11,"[19.58 , 20.15]",57140,
47,4210816,0147,Unknown,19.97,,,53354,,,,,,
48,4210816,0147,Unknown,19.88,,,56439,,,,,,
49,4210816,0149,Unknown,20.19,,,46175,,20.21,0.02,"[20.16 , 20.26]",45577,
50,4210816,0149,Unknown,20.23,,,44995,,,,,,
51,4210816,0149,Unknown,20.21,,,45569,,,,,,
52,65408,0151,Unknown,20.03,,,51101,,20.28,0.22,"[19.74 , 20.82]",43351,
53,65408,0151,Unknown,20.42,,,39722,,,,,,
54,65408,0151,Unknown,20.4,,,40138,,,,,,
55,65408,0153,Unknown,20.4,,,40254,,20.42,0.05,"[20.29 , 20.55]",39656,
56,65408,0153,Unknown,20.38,,,40658,,,,,,
57,65408,0153,Unknown,20.48,,,38106,,,,,,
58,65408,0155,Unknown,19.99,,,52668,,19.98,0.01,"[19.96 , 20.00]",52928,
59,65408,0155,Unknown,19.98,,,53015,,,,,,
60,65408,0155,Unknown,19.97,,,53101,,,,,,
61,65408,0157,Unknown,19.86,,,57280,,19.85,0.03,"[19.77 , 19.94]",57519,
62,65408,0157,Unknown,19.88,,,56356,,,,,,
63,65408,0157,Unknown,19.81,,,58950,,,,,,
64,65408,0159,Unknown,21.41,,,20692,,21.46,0.05,"[21.33 , 21.59]",19920,
65,65408,0159,Unknown,21.48,,,19742,,,,,,
66,65408,0159,Unknown,21.51,,,19350,,,,,,
