No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),17.77,,,17903,,17.9,0.22,"[17.37 , 18.44]",16255,
5,33023,Cal,Calibrator (RQ),18.15,,,13618,,,,,,
6,33023,Cal,Calibrator (RQ),17.79,,,17616,,,,,,
7,16744448,0122,Unknown,,,,,,,,,,
8,16744448,0122,Unknown,20.59,,,2403,,,,,,
9,16744448,0122,Unknown,20.78,,,2090,,,,,,
10,16744448,0124,Unknown,20.73,,,2167,,20.72,0.01,"[20.69 , 20.75]",2183,
11,16744448,0124,Unknown,20.72,,,2178,,,,,,
12,16744448,0124,Unknown,20.71,,,2204,,,,,,
13,16744448,0126,Unknown,22.04,,,854,,22.15,0.1,"[21.91 , 22.39]",789,
14,16744448,0126,Unknown,22.2,,,761,,,,,,
15,16744448,0126,Unknown,22.21,,,756,,,,,,
16,16744448,0128,Unknown,20.3,,,2940,,20.32,0.02,"[20.27 , 20.36]",2914,
17,16744448,0128,Unknown,20.34,,,2870,,,,,,
18,16744448,0128,Unknown,20.31,,,2932,,,,,,
19,16744448,0130,Unknown,21.82,,,1000,,21.87,0.06,"[21.73 , 22.01]",961,
20,16744448,0130,Unknown,21.87,,,961,,,,,,
21,16744448,0130,Unknown,21.93,,,923,,,,,,
22,8388863,0132,Unknown,19.65,,,4674,,19.86,0.18,"[19.41 , 20.30]",4040,
23,8388863,0132,Unknown,19.93,,,3837,,,,,,
24,8388863,0132,Unknown,19.99,,,3678,,,,,,
25,8388863,0134,Unknown,19.83,,,4121,,19.96,0.11,"[19.68 , 20.23]",3762,
26,8388863,0134,Unknown,20.02,,,3594,,,,,,
27,8388863,0134,Unknown,20.02,,,3597,,,,,,
28,8388863,0136,Unknown,20.61,,,2356,,20.52,0.26,"[19.88 , 21.16]",2523,
29,8388863,0136,Unknown,20.71,,,2194,,,,,,
30,8388863,0136,Unknown,20.23,,,3108,,,,,,
31,8388863,0138,Unknown,18.78,,,8725,,18.77,0.1,"[18.53 , 19.01]",8787,
32,8388863,0138,Unknown,18.86,,,8236,,,,,,
33,8388863,0138,Unknown,18.67,,,9443,,,,,,
34,8388863,0140,Unknown,19,,,7450,,18.99,0.02,"[18.95 , 19.03]",7485,
35,8388863,0140,Unknown,19,,,7427,,,,,,
36,8388863,0140,Unknown,18.97,,,7579,,,,,,
37,12615680,0142,Unknown,18.06,,,14556,,18.07,0.03,"[18.00 , 18.14]",14425,
38,12615680,0142,Unknown,18.1,,,14103,,,,,,
39,12615680,0142,Unknown,18.05,,,14623,,,,,,
40,12615680,0144,Unknown,17.65,,,19433,,17.77,0.1,"[17.52 , 18.01]",17906,
41,12615680,0144,Unknown,17.83,,,17179,,,,,,
42,12615680,0144,Unknown,17.82,,,17197,,,,,,
43,12615680,0146,Unknown,17.14,,,28035,,17.2,0.15,"[16.83 , 17.56]",26891,
44,12615680,0146,Unknown,17.09,,,29053,,,,,,
45,12615680,0146,Unknown,17.36,,,23874,,,,,,
46,12615680,0148,Unknown,16.9,,,33216,,17.04,0.13,"[16.72 , 17.37]",29949,
47,12615680,0148,Unknown,17.15,,,27700,,,,,,
48,12615680,0148,Unknown,17.08,,,29195,,,,,,
49,12615680,0150,Unknown,17.51,,,21551,,17.47,0.03,"[17.40 , 17.55]",22088,
50,12615680,0150,Unknown,17.45,,,22434,,,,,,
51,12615680,0150,Unknown,17.46,,,22288,,,,,,
52,65408,0152,Unknown,15.9,,,67809,,16.17,0.23,"[15.58 , 16.75]",56054,
53,65408,0152,Unknown,16.26,,,52355,,,,,,
54,65408,0152,Unknown,16.34,,,49610,,,,,,
55,65408,0154,Unknown,17.87,,,16655,,18.08,0.19,"[17.60 , 18.56]",14337,
56,65408,0154,Unknown,18.25,,,12733,,,,,,
57,65408,0154,Unknown,18.12,,,13897,,,,,,
58,65408,0156,Unknown,16.75,,,37078,,16.68,0.06,"[16.53 , 16.84]",38725,
59,65408,0156,Unknown,16.69,,,38586,,,,,,
60,65408,0156,Unknown,16.62,,,40591,,,,,,
61,65408,0158,Unknown,18.77,,,8763,,18.77,0.01,"[18.75 , 18.80]",8758,
62,65408,0158,Unknown,18.76,,,8819,,,,,,
63,65408,0158,Unknown,18.78,,,8693,,,,,,
64,65408,0160,Unknown,28.54,,,8,,29.06,0.64,"[27.48 , 30.65]",6,
65,65408,0160,Unknown,29.77,,,3,,,,,,
66,65408,0160,Unknown,28.89,,,6,,,,,,
67,16777215,,Unknown,,,,,,,,,,
