No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/ul),Calc Conc (copies/ul),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,33.03,,,,,32.82,1.08,"[30.13 , 35.50]",,
2,0,ntc,NTC,31.64,,,1,,,,,,
3,0,ntc,NTC,33.77,,,,,,,,,
4,33023,Cal,Calibrator (RQ),17.21,,,20002,,17.21,0.01,"[17.19 , 17.23]",19901,
5,33023,Cal,Calibrator (RQ),17.22,,,19774,,,,,,
6,33023,Cal,Calibrator (RQ),17.21,,,19927,,,,,,
7,16744448,0122,Unknown,19.37,,,4508,,19.42,0.15,"[19.04 , 19.79]",4383,
8,16744448,0122,Unknown,19.29,,,4775,,,,,,
9,16744448,0122,Unknown,19.58,,,3910,,,,,,
10,16744448,0124,Unknown,20.22,,,2516,,20.13,0.12,"[19.84 , 20.42]",2691,
11,16744448,0124,Unknown,20.16,,,2634,,,,,,
12,16744448,0124,Unknown,20,,,2942,,,,,,
13,16744448,0126,Unknown,18.86,,,6442,,18.9,0.05,"[18.76 , 19.03]",6260,
14,16744448,0126,Unknown,18.96,,,6007,,,,,,
15,16744448,0126,Unknown,18.88,,,6340,,,,,,
16,16744448,0128,Unknown,18.84,,,6500,,18.92,0.11,"[18.65 , 19.20]",6142,
17,16744448,0128,Unknown,19.05,,,5638,,,,,,
18,16744448,0128,Unknown,18.88,,,6322,,,,,,
19,16744448,0130,Unknown,19.78,,,3421,,20.16,0.37,"[19.25 , 21.07]",2629,
20,16744448,0130,Unknown,20.2,,,2559,,,,,,
21,16744448,0130,Unknown,20.5,,,2075,,,,,,
22,8388863,0132,Unknown,19.59,,,3881,,19.81,0.21,"[19.30 , 20.32]",3343,
23,8388863,0132,Unknown,19.83,,,3294,,,,,,
24,8388863,0132,Unknown,20.01,,,2923,,,,,,
25,8388863,0134,Unknown,19.21,,,5048,,19.23,0.06,"[19.07 , 19.39]",4980,
26,8388863,0134,Unknown,19.18,,,5162,,,,,,
27,8388863,0134,Unknown,19.3,,,4738,,,,,,
28,8388863,0136,Unknown,18.11,,,10725,,18.3,0.17,"[17.88 , 18.71]",9447,
29,8388863,0136,Unknown,18.34,,,9152,,,,,,
30,8388863,0136,Unknown,18.44,,,8589,,,,,,
31,8388863,0138,Unknown,18.45,,,8480,,18.85,0.35,"[17.99 , 19.72]",6456,
32,8388863,0138,Unknown,18.99,,,5852,,,,,,
33,8388863,0138,Unknown,19.11,,,5423,,,,,,
34,8388863,0140,Unknown,19.47,,,4224,,19.34,0.12,"[19.05 , 19.63]",4619,
35,8388863,0140,Unknown,19.25,,,4924,,,,,,
36,8388863,0140,Unknown,19.3,,,4739,,,,,,
37,4210816,0142,Unknown,17.43,,,17110,,17.54,0.1,"[17.30 , 17.79]",15855,
38,4210816,0142,Unknown,17.58,,,15452,,,,,,
39,4210816,0142,Unknown,17.62,,,15076,,,,,,
40,4210816,0144,Unknown,17.47,,,16699,,17.43,0.06,"[17.27 , 17.59]",17131,
41,4210816,0144,Unknown,17.36,,,18028,,,,,,
42,4210816,0144,Unknown,17.47,,,16699,,,,,,
43,4210816,0146,Unknown,17.17,,,20461,,17.19,0.05,"[17.06 , 17.33]",20196,
44,4210816,0146,Unknown,17.15,,,20790,,,,,,
45,4210816,0146,Unknown,17.25,,,19364,,,,,,
46,4210816,0148,Unknown,17.39,,,17636,,17.46,0.08,"[17.26 , 17.66]",16763,
47,4210816,0148,Unknown,17.45,,,16909,,,,,,
48,4210816,0148,Unknown,17.55,,,15796,,,,,,
49,4210816,0150,Unknown,17.27,,,19168,,17.21,0.05,"[17.08 , 17.35]",19874,
50,4210816,0150,Unknown,17.16,,,20608,,,,,,
51,4210816,0150,Unknown,17.21,,,19874,,,,,,
52,65408,0152,Unknown,16.66,,,29014,,17.11,0.39,"[16.15 , 18.07]",21371,
53,65408,0152,Unknown,17.3,,,18701,,,,,,
54,65408,0152,Unknown,17.36,,,17989,,,,,,
55,65408,0154,Unknown,17.13,,,21074,,17.27,0.16,"[16.88 , 17.66]",19093,
56,65408,0154,Unknown,17.25,,,19402,,,,,,
57,65408,0154,Unknown,17.44,,,17022,,,,,,
58,65408,0156,Unknown,17.6,,,15249,,17.82,0.19,"[17.35 , 18.29]",13133,
59,65408,0156,Unknown,17.95,,,11989,,,,,,
60,65408,0156,Unknown,17.9,,,12391,,,,,,
61,65408,0158,Unknown,18.13,,,10573,,18.19,0.13,"[17.87 , 18.52]",10141,
62,65408,0158,Unknown,18.1,,,10787,,,,,,
63,65408,0158,Unknown,18.34,,,9146,,,,,,
64,65408,0160,Unknown,25.37,,,73,,25.73,0.31,"[24.96 , 26.51]",57,
65,65408,0160,Unknown,25.9,,,51,,,,,,
66,65408,0160,Unknown,25.92,,,50,,,,,,
67,16777215,,Unknown,,,,,,,,,,
