No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),15.23,,,77355,,15.35,0.36,"[14.45 , 16.25]",70858,
5,33023,Cal,Calibrator (RQ),15.75,,,53032,,,,,,
6,33023,Cal,Calibrator (RQ),15.07,,,86722,,,,,,
7,16744448,0121,Unknown,16.82,,,24881,,16.81,0.01,"[16.79 , 16.83]",24943,
8,16744448,0121,Unknown,16.8,,,25102,,,,,,
9,16744448,0121,Unknown,16.82,,,24848,,,,,,
10,16744448,0123,Unknown,27.52,,,12,,27.29,0.21,"[26.77 , 27.82]",14,
11,16744448,0123,Unknown,27.25,,,15,,,,,,
12,16744448,0123,Unknown,27.11,,,16,,,,,,
13,16744448,0125,Unknown,16.97,,,22320,,16.97,0.04,"[16.88 , 17.06]",22255,
14,16744448,0125,Unknown,16.94,,,22808,,,,,,
15,16744448,0125,Unknown,17.01,,,21654,,,,,,
16,16744448,0127,Unknown,30.37,,,2,,31.32,0.89,"[29.11 , 33.54]",1,
17,16744448,0127,Unknown,32.13,,,,,,,,,
18,16744448,0127,Unknown,31.47,,,1,,,,,,
19,16744448,0129,Unknown,18.4,,,8052,,18.46,0.11,"[18.18 , 18.73]",7726,
20,16744448,0129,Unknown,18.39,,,8112,,,,,,
21,16744448,0129,Unknown,18.58,,,7061,,,,,,
22,8388863,0131,Unknown,15.98,,,45149,,16,0.11,"[15.72 , 16.28]",44574,
23,8388863,0131,Unknown,16.12,,,40917,,,,,,
24,8388863,0131,Unknown,15.9,,,47938,,,,,,
25,8388863,0133,Unknown,16.74,,,26204,,16.68,0.06,"[16.54 , 16.82]",27450,
26,8388863,0133,Unknown,16.65,,,28107,,,,,,
27,8388863,0133,Unknown,16.65,,,28084,,,,,,
28,8388863,0135,Unknown,16.66,,,27750,,16.55,0.11,"[16.29 , 16.81]",30063,
29,8388863,0135,Unknown,16.46,,,32188,,,,,,
30,8388863,0135,Unknown,16.53,,,30419,,,,,,
31,8388863,0137,Unknown,15.94,,,46404,,15.94,0.01,"[15.90 , 15.98]",46476,
32,8388863,0137,Unknown,15.95,,,46039,,,,,,
33,8388863,0137,Unknown,15.92,,,46989,,,,,,
34,8388863,0139,Unknown,15.03,,,88629,,15.04,0.01,"[15.02 , 15.05]",88501,
35,8388863,0139,Unknown,15.03,,,88855,,,,,,
36,8388863,0139,Unknown,15.04,,,88020,,,,,,
37,12615680,0141,Unknown,17.27,,,17953,,17.25,0.04,"[17.15 , 17.36]",18198,
38,12615680,0141,Unknown,17.2,,,18860,,,,,,
39,12615680,0141,Unknown,17.29,,,17801,,,,,,
40,12615680,0143,Unknown,15.89,,,48047,,16.14,0.21,"[15.61 , 16.67]",40347,
41,12615680,0143,Unknown,16.28,,,36426,,,,,,
42,12615680,0143,Unknown,16.24,,,37529,,,,,,
43,12615680,0145,Unknown,18.24,,,8999,,18.27,0.03,"[18.19 , 18.35]",8844,
44,12615680,0145,Unknown,18.25,,,8922,,,,,,
45,12615680,0145,Unknown,18.3,,,8615,,,,,,
46,12615680,0147,Unknown,16.89,,,23684,,16.99,0.09,"[16.76 , 17.23]",21934,
47,12615680,0147,Unknown,17.06,,,20860,,,,,,
48,12615680,0147,Unknown,17.03,,,21359,,,,,,
49,12615680,0149,Unknown,16.79,,,25336,,16.83,0.06,"[16.68 , 16.97]",24713,
50,12615680,0149,Unknown,16.79,,,25276,,,,,,
51,12615680,0149,Unknown,16.89,,,23570,,,,,,
52,65408,0151,Unknown,16.68,,,27393,,16.68,0.03,"[16.60 , 16.77]",27363,
53,65408,0151,Unknown,16.65,,,28008,,,,,,
54,65408,0151,Unknown,16.72,,,26703,,,,,,
55,65408,0153,Unknown,17.45,,,15878,,17.51,0.12,"[17.21 , 17.81]",15185,
56,65408,0153,Unknown,17.65,,,13734,,,,,,
57,65408,0153,Unknown,17.43,,,16056,,,,,,
58,65408,0155,Unknown,15.69,,,55664,,15.81,0.11,"[15.55 , 16.07]",51067,
59,65408,0155,Unknown,15.85,,,49420,,,,,,
60,65408,0155,Unknown,15.88,,,48411,,,,,,
61,65408,0157,Unknown,16.09,,,41630,,16.23,0.14,"[15.87 , 16.58]",37890,
62,65408,0157,Unknown,16.38,,,33969,,,,,,
63,65408,0157,Unknown,16.21,,,38467,,,,,,
64,65408,0159,Unknown,18.48,,,7605,,18.51,0.03,"[18.42 , 18.59]",7443,
65,65408,0159,Unknown,18.55,,,7248,,,,,,
66,65408,0159,Unknown,18.5,,,7480,,,,,,
