No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/ul),Calc Conc (copies/ul),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),25.12,,,86,,25,0.43,"[23.93 , 26.06]",94,
5,33023,Cal,Calibrator (RQ),25.35,,,74,,,,,,
6,33023,Cal,Calibrator (RQ),24.52,,,131,,,,,,
7,16744448,0011,Unknown,24.37,,,145,,24.21,0.16,"[23.81 , 24.60]",162,
8,16744448,0011,Unknown,24.2,,,163,,,,,,
9,16744448,0011,Unknown,24.05,,,181,,,,,,
10,16744448,0013,Unknown,26.06,,,46,,26.06,0.3,"[25.32 , 26.80]",45,
11,16744448,0013,Unknown,26.36,,,37,,,,,,
12,16744448,0013,Unknown,25.77,,,56,,,,,,
13,16744448,0015,Unknown,24.69,,,116,,24.97,0.24,"[24.37 , 25.58]",96,
14,16744448,0015,Unknown,25.14,,,85,,,,,,
15,16744448,0015,Unknown,25.08,,,89,,,,,,
16,16744448,0017,Unknown,23.48,,,268,,23.62,0.37,"[22.71 , 24.54]",242,
17,16744448,0017,Unknown,23.35,,,293,,,,,,
18,16744448,0017,Unknown,24.04,,,181,,,,,,
19,16744448,0019,Unknown,24.19,,,164,,24.74,1.37,"[21.34 , 28.14]",112,
20,16744448,0019,Unknown,23.73,,,226,,,,,,
21,16744448,0019,Unknown,26.3,,,39,,,,,,
22,8388863,0051,Unknown,,,,,,,,,,
23,8388863,0051,Unknown,24.42,,,140,,,,,,
24,8388863,0051,Unknown,23.63,,,241,,,,,,
25,8388863,0053,Unknown,24.04,,,182,,24.65,0.55,"[23.29 , 26.01]",120,
26,8388863,0053,Unknown,25.09,,,88,,,,,,
27,8388863,0053,Unknown,24.82,,,106,,,,,,
28,8388863,0055,Unknown,24.58,,,126,,24.68,0.16,"[24.29 , 25.07]",117,
29,8388863,0055,Unknown,24.86,,,103,,,,,,
30,8388863,0055,Unknown,24.6,,,124,,,,,,
31,8388863,0057,Unknown,25.04,,,91,,24.57,0.55,"[23.21 , 25.93]",126,
32,8388863,0057,Unknown,24.7,,,115,,,,,,
33,8388863,0057,Unknown,23.97,,,191,,,,,,
34,8388863,0059,Unknown,25.88,,,51,,25.79,0.08,"[25.58 , 26.00]",55,
35,8388863,0059,Unknown,25.72,,,57,,,,,,
36,8388863,0059,Unknown,25.76,,,56,,,,,,
37,4210816,0061,Unknown,23.52,,,261,,23.97,0.42,"[22.94 , 25.01]",190,
38,4210816,0061,Unknown,24.33,,,149,,,,,,
39,4210816,0061,Unknown,24.07,,,178,,,,,,
40,4210816,0063,Unknown,24.05,,,181,,24.69,0.56,"[23.29 , 26.08]",117,
41,4210816,0063,Unknown,25.1,,,88,,,,,,
42,4210816,0063,Unknown,24.91,,,100,,,,,,
43,4210816,0065,Unknown,25.22,,,81,,25.22,0.03,"[25.14 , 25.31]",81,
44,4210816,0065,Unknown,25.19,,,82,,,,,,
45,4210816,0065,Unknown,25.26,,,79,,,,,,
46,4210816,0067,Unknown,25.21,,,81,,25.28,0.13,"[24.95 , 25.60]",78,
47,4210816,0067,Unknown,25.43,,,70,,,,,,
48,4210816,0067,Unknown,25.19,,,83,,,,,,
49,4210816,0069,Unknown,25.32,,,75,,25.26,0.08,"[25.06 , 25.46]",79,
50,4210816,0069,Unknown,25.28,,,77,,,,,,
51,4210816,0069,Unknown,25.17,,,84,,,,,,
52,65408,0092,Unknown,24.8,,,108,,24.89,0.11,"[24.62 , 25.15]",102,
53,65408,0092,Unknown,25,,,94,,,,,,
54,65408,0092,Unknown,24.85,,,104,,,,,,
55,65408,0094,Unknown,24.62,,,122,,24.68,0.06,"[24.55 , 24.82]",117,
56,65408,0094,Unknown,24.73,,,113,,,,,,
57,65408,0094,Unknown,24.7,,,116,,,,,,
58,65408,0096,Unknown,25.02,,,93,,25.13,0.09,"[24.91 , 25.34]",86,
59,65408,0096,Unknown,25.18,,,83,,,,,,
60,65408,0096,Unknown,25.17,,,84,,,,,,
61,65408,0098,Unknown,24.89,,,102,,25.21,0.28,"[24.50 , 25.91]",82,
62,65408,0098,Unknown,25.43,,,70,,,,,,
63,65408,0098,Unknown,25.3,,,76,,,,,,
64,65408,0100,Unknown,25.5,,,67,,25.14,0.52,"[23.86 , 26.42]",85,
65,65408,0100,Unknown,24.55,,,128,,,,,,
66,65408,0100,Unknown,25.37,,,73,,,,,,
67,16777215,,Unknown,,,,,,,,,,
