No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),15.22,,,77836,,15.26,0.15,"[14.89 , 15.63]",75412,
5,33023,Cal,Calibrator (RQ),15.43,,,66998,,,,,,
6,33023,Cal,Calibrator (RQ),15.14,,,82238,,,,,,
7,16744448,0122,Unknown,16.56,,,29771,,16.58,0.03,"[16.50 , 16.67]",29344,
8,16744448,0122,Unknown,16.57,,,29709,,,,,,
9,16744448,0122,Unknown,16.62,,,28567,,,,,,
10,16744448,0124,Unknown,16.82,,,24788,,16.81,0.04,"[16.71 , 16.91]",24984,
11,16744448,0124,Unknown,16.84,,,24403,,,,,,
12,16744448,0124,Unknown,16.77,,,25779,,,,,,
13,16744448,0126,Unknown,18.42,,,7933,,18.4,0.07,"[18.22 , 18.58]",8056,
14,16744448,0126,Unknown,18.46,,,7725,,,,,,
15,16744448,0126,Unknown,18.32,,,8532,,,,,,
16,16744448,0128,Unknown,16.04,,,43129,,16.01,0.04,"[15.92 , 16.10]",44188,
17,16744448,0128,Unknown,16.01,,,44124,,,,,,
18,16744448,0128,Unknown,15.97,,,45339,,,,,,
19,16744448,0130,Unknown,17.03,,,21290,,17.08,0.08,"[16.87 , 17.29]",20639,
20,16744448,0130,Unknown,17.03,,,21434,,,,,,
21,16744448,0130,Unknown,17.17,,,19265,,,,,,
22,8388863,0132,Unknown,16.69,,,27298,,16.86,0.25,"[16.23 , 17.49]",24099,
23,8388863,0132,Unknown,17.15,,,19596,,,,,,
24,8388863,0132,Unknown,16.75,,,26164,,,,,,
25,8388863,0134,Unknown,17.57,,,14583,,17.5,0.09,"[17.27 , 17.72]",15328,
26,8388863,0134,Unknown,17.53,,,14992,,,,,,
27,8388863,0134,Unknown,17.39,,,16471,,,,,,
28,8388863,0136,Unknown,16.57,,,29758,,16.62,0.05,"[16.49 , 16.75]",28574,
29,8388863,0136,Unknown,16.67,,,27647,,,,,,
30,8388863,0136,Unknown,16.63,,,28356,,,,,,
31,8388863,0138,Unknown,16.15,,,40121,,16.17,0.04,"[16.08 , 16.26]",39496,
32,8388863,0138,Unknown,16.15,,,40023,,,,,,
33,8388863,0138,Unknown,16.21,,,38370,,,,,,
34,8388863,0140,Unknown,15.75,,,53345,,16.1,0.49,,41563,
35,8388863,0140,Unknown,,,,,,,,,,
36,8388863,0140,Unknown,16.45,,,32384,,,,,,
37,12615680,0142,Unknown,16.81,,,24928,,16.82,0.02,"[16.78 , 16.86]",24799,
38,12615680,0142,Unknown,16.81,,,24994,,,,,,
39,12615680,0142,Unknown,16.84,,,24479,,,,,,
40,12615680,0144,Unknown,16.71,,,26816,,16.75,0.04,"[16.64 , 16.86]",26029,
41,12615680,0144,Unknown,16.75,,,26094,,,,,,
42,12615680,0144,Unknown,16.8,,,25202,,,,,,
43,12615680,0146,Unknown,16.18,,,39120,,16.21,0.05,"[16.09 , 16.33]",38307,
44,12615680,0146,Unknown,16.18,,,39050,,,,,,
45,12615680,0146,Unknown,16.27,,,36796,,,,,,
46,12615680,0148,Unknown,16.48,,,31563,,16.57,0.07,"[16.39 , 16.74]",29756,
47,12615680,0148,Unknown,16.61,,,28860,,,,,,
48,12615680,0148,Unknown,16.61,,,28923,,,,,,
49,12615680,0150,Unknown,16.86,,,24134,,16.78,0.07,"[16.60 , 16.96]",25529,
50,12615680,0150,Unknown,16.77,,,25708,,,,,,
51,12615680,0150,Unknown,16.71,,,26817,,,,,,
52,65408,0152,Unknown,15.27,,,74980,,15.32,0.04,"[15.21 , 15.42]",72532,
53,65408,0152,Unknown,15.32,,,72113,,,,,,
54,65408,0152,Unknown,15.35,,,70572,,,,,,
55,65408,0154,Unknown,17.09,,,20477,,17.13,0.05,"[17.00 , 17.25]",19937,
56,65408,0154,Unknown,17.11,,,20226,,,,,,
57,65408,0154,Unknown,17.18,,,19135,,,,,,
58,65408,0156,Unknown,15.81,,,51064,,15.84,0.06,"[15.70 , 15.99]",49776,
59,65408,0156,Unknown,15.81,,,50918,,,,,,
60,65408,0156,Unknown,15.91,,,47432,,,,,,
61,65408,0158,Unknown,17.65,,,13777,,17.66,0.06,"[17.51 , 17.81]",13607,
62,65408,0158,Unknown,17.61,,,14097,,,,,,
63,65408,0158,Unknown,17.73,,,12973,,,,,,
64,65408,0160,Unknown,28.21,,,7,,28.27,0.15,"[27.90 , 28.64]",7,
65,65408,0160,Unknown,28.44,,,6,,,,,,
66,65408,0160,Unknown,28.17,,,8,,,,,,
67,16777215,,Unknown,,,,,,,,,,
