No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),15.13,,,82833,,15.06,0.07,"[14.88 , 15.23]",87312,
5,33023,Cal,Calibrator (RQ),15.05,,,87568,,,,,,
6,33023,Cal,Calibrator (RQ),14.99,,,91762,,,,,,
7,16744448,0012,Unknown,14.54,,,126229,,14.37,0.15,"[14.00 , 14.74]",142278,
8,16744448,0012,Unknown,14.25,,,154843,,,,,,
9,16744448,0012,Unknown,14.32,,,147355,,,,,,
10,16744448,0014,Unknown,15.62,,,58450,,15.65,0.21,"[15.13 , 16.17]",57192,
11,16744448,0014,Unknown,15.87,,,48823,,,,,,
12,16744448,0014,Unknown,15.46,,,65553,,,,,,
13,16744448,0016,Unknown,14.78,,,106641,,14.56,0.42,"[13.52 , 15.60]",124453,
14,16744448,0016,Unknown,14.82,,,102967,,,,,,
15,16744448,0016,Unknown,14.08,,,175548,,,,,,
16,16744448,0018,Unknown,13.58,,,250713,,13.65,0.07,"[13.47 , 13.82]",238299,
17,16744448,0018,Unknown,13.72,,,226677,,,,,,
18,16744448,0018,Unknown,13.65,,,238114,,,,,,
19,16744448,0020,Unknown,14.12,,,170600,,13.95,0.16,"[13.56 , 14.33]",192158,
20,16744448,0020,Unknown,13.92,,,195931,,,,,,
21,16744448,0020,Unknown,13.81,,,212270,,,,,,
22,8388863,0052,Unknown,16.49,,,31451,,16.55,0.11,"[16.27 , 16.83]",30086,
23,8388863,0052,Unknown,16.48,,,31534,,,,,,
24,8388863,0052,Unknown,16.68,,,27459,,,,,,
25,8388863,0054,Unknown,16.92,,,23182,,16.98,0.12,"[16.68 , 17.28]",22144,
26,8388863,0054,Unknown,16.91,,,23339,,,,,,
27,8388863,0054,Unknown,17.12,,,20069,,,,,,
28,8388863,0056,Unknown,16.22,,,38072,,16.23,0.09,"[16.01 , 16.45]",37691,
29,8388863,0056,Unknown,16.15,,,39923,,,,,,
30,8388863,0056,Unknown,16.33,,,35228,,,,,,
31,8388863,0058,Unknown,16.66,,,27777,,16.91,0.25,"[16.29 , 17.52]",23307,
32,8388863,0058,Unknown,16.9,,,23378,,,,,,
33,8388863,0058,Unknown,17.16,,,19498,,,,,,
34,8388863,0060,Unknown,16.74,,,26301,,16.77,0.07,"[16.61 , 16.94]",25633,
35,8388863,0060,Unknown,16.73,,,26398,,,,,,
36,8388863,0060,Unknown,16.85,,,24259,,,,,,
37,4210816,0062,Unknown,14.41,,,137986,,14.39,0.06,"[14.25 , 14.53]",140684,
38,4210816,0062,Unknown,14.32,,,147320,,,,,,
39,4210816,0062,Unknown,14.42,,,136972,,,,,,
41,4210816,0064,Unknown,13.34,,,295725,,13.22,0.17,,322593,
42,4210816,0064,Unknown,13.1,,,351903,,,,,,
43,4210816,0066,Unknown,13.87,,,203332,,14.05,0.23,"[13.48 , 14.62]",178688,
44,4210816,0066,Unknown,14.31,,,148737,,,,,,
45,4210816,0066,Unknown,13.98,,,188650,,,,,,
46,4210816,0068,Unknown,14.05,,,178454,,13.71,0.51,"[12.44 , 14.97]",228296,
47,4210816,0068,Unknown,13.95,,,192409,,,,,,
48,4210816,0068,Unknown,13.12,,,346532,,,,,,
49,4210816,0070,Unknown,14.69,,,113469,,14.56,0.11,"[14.27 , 14.84]",124711,
50,4210816,0070,Unknown,14.48,,,131379,,,,,,
51,4210816,0070,Unknown,14.5,,,130110,,,,,,
52,65408,0093,Unknown,18.09,,,10038,,18.15,0.08,"[17.94 , 18.36]",9617,
53,65408,0093,Unknown,18.25,,,8979,,,,,,
54,65408,0093,Unknown,18.11,,,9868,,,,,,
55,65408,0095,Unknown,16.35,,,34797,,16.54,0.23,"[15.98 , 17.11]",30190,
56,65408,0095,Unknown,16.49,,,31291,,,,,,
57,65408,0095,Unknown,16.79,,,25272,,,,,,
58,65408,0097,Unknown,15.36,,,70162,,15.43,0.11,"[15.16 , 15.70]",66934,
59,65408,0097,Unknown,15.37,,,69817,,,,,,
60,65408,0097,Unknown,15.55,,,61217,,,,,,
61,65408,0099,Unknown,32.81,,,,,32.44,0.49,"[31.23 , 33.65]",,
62,65408,0099,Unknown,31.89,,,1,,,,,,
63,65408,0099,Unknown,32.62,,,,,,,,,
64,65408,0102,Unknown,17.15,,,19631,,17.19,0.13,"[16.85 , 17.52]",19070,
65,65408,0102,Unknown,17.08,,,20621,,,,,,
66,65408,0102,Unknown,17.34,,,17133,,,,,,
67,16777215,,Unknown,,,,,,,,,,
