No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/ul),Calc Conc (copies/ul),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),19.87,,,56852,,19.85,0.07,"[19.68 , 20.02]",57599,
5,33023,Cal,Calibrator (RQ),19.91,,,55447,,,,,,
6,33023,Cal,Calibrator (RQ),19.77,,,60623,,,,,,
7,16744448,0122,Unknown,21.63,,,17868,,21.7,0.07,"[21.54 , 21.86]",17053,
8,16744448,0122,Unknown,21.71,,,16912,,,,,,
9,16744448,0122,Unknown,21.76,,,16411,,,,,,
10,16744448,0124,Unknown,22.29,,,11570,,22.29,0.05,"[22.17 , 22.40]",11613,
11,16744448,0124,Unknown,22.33,,,11286,,,,,,
12,16744448,0124,Unknown,22.24,,,11993,,,,,,
13,16744448,0126,Unknown,20.82,,,30516,,21.02,0.18,"[20.57 , 21.46]",26739,
14,16744448,0126,Unknown,21.16,,,24290,,,,,,
15,16744448,0126,Unknown,21.07,,,25791,,,,,,
16,16744448,0128,Unknown,20.96,,,27786,,21.28,0.34,"[20.44 , 22.13]",22432,
17,16744448,0128,Unknown,21.26,,,22837,,,,,,
18,16744448,0128,Unknown,21.64,,,17788,,,,,,
19,16744448,0130,Unknown,22,,,14020,,22.34,0.3,"[21.58 , 23.09]",11236,
20,16744448,0130,Unknown,22.42,,,10653,,,,,,
21,16744448,0130,Unknown,22.59,,,9498,,,,,,
22,8388863,0132,Unknown,22.14,,,12764,,22.37,0.2,"[21.87 , 22.88]",10955,
23,8388863,0132,Unknown,22.52,,,9974,,,,,,
24,8388863,0132,Unknown,22.46,,,10328,,,,,,
25,8388863,0134,Unknown,21.17,,,24226,,21.39,0.23,"[20.82 , 21.97]",20866,
26,8388863,0134,Unknown,21.38,,,21024,,,,,,
27,8388863,0134,Unknown,21.63,,,17836,,,,,,
28,8388863,0136,Unknown,20.44,,,39180,,20.61,0.15,"[20.23 , 20.99]",34906,
29,8388863,0136,Unknown,20.7,,,32935,,,,,,
30,8388863,0136,Unknown,20.7,,,32959,,,,,,
31,8388863,0138,Unknown,20.94,,,28105,,21.22,0.25,"[20.59 , 21.85]",23388,
32,8388863,0138,Unknown,21.29,,,22385,,,,,,
33,8388863,0138,Unknown,21.43,,,20336,,,,,,
34,8388863,0140,Unknown,21.44,,,20264,,21.44,0.03,"[21.37 , 21.52]",20207,
35,8388863,0140,Unknown,21.42,,,20577,,,,,,
36,8388863,0140,Unknown,21.47,,,19787,,,,,,
37,4210816,0142,Unknown,19.94,,,54342,,20.15,0.2,"[19.66 , 20.65]",47142,
38,4210816,0142,Unknown,20.19,,,46037,,,,,,
39,4210816,0142,Unknown,20.33,,,41879,,,,,,
40,4210816,0144,Unknown,19.72,,,62815,,20.07,0.32,"[19.28 , 20.85]",49962,
41,4210816,0144,Unknown,20.14,,,47469,,,,,,
42,4210816,0144,Unknown,20.34,,,41826,,,,,,
43,4210816,0146,Unknown,19.68,,,64452,,19.87,0.17,"[19.44 , 20.29]",56999,
44,4210816,0146,Unknown,19.9,,,55733,,,,,,
45,4210816,0146,Unknown,20.02,,,51553,,,,,,
46,4210816,0148,Unknown,20.06,,,50260,,20.08,0.03,"[20.02 , 20.15]",49368,
47,4210816,0148,Unknown,20.11,,,48468,,,,,,
48,4210816,0148,Unknown,20.08,,,49392,,,,,,
49,4210816,0150,Unknown,19.73,,,62542,,19.96,0.23,"[19.40 , 20.53]",53482,
50,4210816,0150,Unknown,19.99,,,52625,,,,,,
51,4210816,0150,Unknown,20.18,,,46478,,,,,,
52,65408,0152,Unknown,18.99,,,101530,,19.46,0.41,"[18.45 , 20.46]",74674,
53,65408,0152,Unknown,19.66,,,65434,,,,,,
54,65408,0152,Unknown,19.72,,,62677,,,,,,
55,65408,0154,Unknown,20.13,,,47905,,20.13,0.06,"[19.99 , 20.27]",47770,
56,65408,0154,Unknown,20.19,,,45970,,,,,,
57,65408,0154,Unknown,20.08,,,49501,,,,,,
58,65408,0156,Unknown,20.21,,,45455,,20.24,0.02,"[20.18 , 20.29]",44695,
59,65408,0156,Unknown,20.26,,,44114,,,,,,
60,65408,0156,Unknown,20.24,,,44526,,,,,,
61,65408,0158,Unknown,21.18,,,24074,,21.29,0.1,"[21.03 , 21.55]",22325,
62,65408,0158,Unknown,21.32,,,21945,,,,,,
63,65408,0158,Unknown,21.38,,,21061,,,,,,
64,65408,0160,Unknown,28.9,,,149,,29.59,0.6,"[28.09 , 31.09]",95,
65,65408,0160,Unknown,30.05,,,70,,,,,,
66,65408,0160,Unknown,29.8,,,83,,,,,,
