"","mean_RT","0153","0154","0155","0156","0157","0158","0159","0160"
"P85",31.5352916666667,31.513,31.545,31.532,31.564,31.532,31.539,31.532,31.532
"P86",31.8686666666667,0,31.857,0,31.902,0,0,31.857,0
"P87",31.9662666666667,0,31.959,31.959,32.003,0,31.965,31.952,0
"P88",32.0724166666667,32.067,32.067,32.067,32.105,32.067,32.067,32.073,32.073
"P89",32.1838095238095,0,32.181,32.181,32.213,32.181,32.175,32.188,32.181
"P90",32.4368095238095,32.436,32.442,0,32.468,32.423,32.43,32.436,32.436
"P91",32.5447916666667,32.544,32.538,32.537,32.576,32.544,32.544,32.538,32.544
"P92",32.8166666666667,0,0,0,32.83,0,0,0,0
"P93",32.9471666666667,32.945,32.938,32.945,32.97,32.945,32.945,32.945,32.951
"P94",33.3741666666667,33.371,33.371,33.371,33.403,33.371,33.371,33.371,33.371
"P95",33.6006666666667,33.594,0,0,0,0,0,0,0
"P96",33.7121666666667,33.708,33.702,33.708,33.74,33.715,33.715,33.708,33.708
"P97",33.8069166666667,33.797,33.804,33.797,33.842,33.804,33.81,33.804,33.804
"P98",33.9196666666667,33.912,33.912,33.912,33.95,33.924,33.918,33.918,33.918
"P99",34.1056666666667,34.09,0,0,34.128,0,0,0,0
"P100",34.1669166666667,34.16,34.16,34.166,34.198,34.166,34.16,34.166,34.166
"P101",34.3052916666667,34.274,34.294,34.312,34.325,34.313,34.306,34.306,34.319
"P102",34.6784166666667,34.669,34.669,34.681,34.701,34.675,34.675,34.682,34.682
"P103",34.8509166666667,34.841,34.847,34.847,34.879,34.853,34.853,34.847,34.847
"P104",34.9561666666667,0,0,34.949,0,34.962,34.949,0,34.968
"P105",35.0981666666667,35.082,0,0,35.121,0,0,0,0
"P106",35.2724666666667,0,35.273,35.273,0,35.273,35.267,0,35.273
"P107",35.4585416666667,35.458,35.451,35.451,35.483,35.458,35.458,35.458,35.458
"P108",35.5771666666667,35.566,35.566,35.572,35.604,35.579,35.579,35.579,35.579
"P109",35.7186666666667,35.712,0,0,0,0,0,0,0
"P110",35.8864166666667,35.884,35.878,35.884,35.916,35.884,35.884,35.884,35.884
"P111",36.3261666666667,36.323,36.323,36.323,36.349,36.323,36.323,36.329,36.323
"P112",36.452380952381,36.45,36.444,36.45,36.476,36.45,0,36.45,36.45
"P113",36.6712916666667,36.698,36.66,36.654,36.724,36.66,36.66,36.654,36.667
"P114",36.8915416666667,36.883,36.889,36.889,36.915,36.889,36.889,36.896,36.889
"P115",36.9936666666667,0,36.991,36.991,37.023,36.991,36.991,36.991,36.991
"P116",37.0634166666667,37.055,37.055,37.061,37.093,37.061,37.067,37.061,37.061
"P117",37.1767916666667,37.169,37.169,37.175,37.207,37.175,37.176,37.175,37.175
"P118",37.5125416666667,37.487,37.5,37.513,37.538,37.506,37.525,37.519,37.519
"P119",37.7196666666667,0,0,0,0,37.723,0,0,0
"P120",37.9214166666667,37.914,37.913,37.92,37.945,37.92,37.926,37.92,37.92
"P121",37.9915416666667,37.984,37.99,37.99,38.015,37.99,37.99,37.99,37.99
"P122",38.1629523809524,38.155,38.155,38.161,38.187,0,38.162,38.162,38.162
"P123",38.2463333333333,38.238,38.238,0,38.263,0,0,0,0
"P124",38.4253333333333,0,38.416,38.422,0,38.422,38.435,38.422,38.435
"P125",38.5941666666667,38.588,38.588,38.594,38.62,38.594,38.594,38.594,38.588
"P126",38.6946666666667,38.664,0,38.702,38.69,38.709,0,0,38.715
"P127",38.9744166666667,38.97,38.97,38.969,39.001,38.976,38.976,38.97,38.97
"P128",39.4556666666667,39.466,39.453,39.447,39.479,39.453,39.46,39.447,39.447
"P129",39.6888333333333,39.669,0,39.688,39.701,0,39.682,39.708,39.695
"P130",39.772,0,0,39.758,39.803,0,39.765,0,0
"P131",39.9003333333333,0,39.898,0,0,39.898,0,0,39.905
"P132",40.0830416666667,40.077,40.077,40.076,40.121,40.077,40.083,40.077,40.083
"P133",40.1815416666667,40.185,40.178,40.185,40.185,40.191,40.153,40.191,40.191
"P134",40.4811666666667,40.452,40.458,40.477,40.547,40.465,40.49,40.477,40.49
"P135",40.7571666666667,40.745,0,0,40.776,0,0,0,0
"P136",40.9066666666667,40.904,40.904,40.897,40.94,40.897,40.91,40.904,40.904
"P137",41.159,41.158,0,0,41.184,0,41.145,0,0
"P138",41.3171666666667,41.317,41.336,41.317,41.292,41.33,41.33,41.311,41.311
"P139",41.4921666666667,41.47,41.489,41.489,41.521,41.489,41.502,41.489,41.495
"P140",41.6059166666667,41.591,41.61,41.603,41.629,41.616,41.604,41.61,41.591
"P141",41.8447916666667,41.839,41.839,41.839,41.874,41.839,41.845,41.845,41.845
"P142",42.2770416666667,42.278,42.284,42.278,42.297,42.271,42.278,42.259,42.278
"P143",42.6586666666667,42.698,0,0,42.66,0,42.628,0,0
"P144",42.9015416666667,42.889,42.916,42.895,42.933,42.895,42.901,42.895,42.895
"P145",42.9596666666667,0,0,0,42.99,0,42.946,0,0
"P146",43.2304166666667,43.213,43.226,43.219,43.309,43.213,43.232,43.219,43.219
"P147",43.6264166666667,43.62,43.62,43.62,43.658,43.62,43.627,43.626,43.627
"P148",44.0216666666667,44.008,44.002,44.021,44.059,44.027,44.015,44.021,44.027
"P149",44.2929166666667,44.288,44.269,44.275,44.314,44.263,44.333,44.326,44.282
"P150",44.5251666666667,44.517,44.517,44.517,44.549,44.524,44.524,44.53,44.53
"P151",44.9334166666667,44.931,44.912,0,44.963,0,44.931,0,0
"P152",45.0206666666667,45.014,0,0,0,0,0,0,0
"P153",45.2970416666667,45.293,45.293,45.293,45.325,45.3,45.293,45.293,45.293
"P154",45.4266666666667,0,0,0,45.44,0,0,0,0
"P155",45.5356666666667,45.522,45.529,45.529,45.567,45.535,45.529,45.535,45.546
"P156",45.5916666666667,45.573,45.573,45.58,45.637,0,45.592,0,0
"P157",45.8105416666667,45.796,45.802,45.799,45.879,45.796,45.815,45.802,45.802
"P158",46.1809166666667,46.178,46.171,46.171,46.216,46.178,46.178,46.184,46.178
"P159",46.5296666666667,46.521,0,46.527,46.553,0,46.521,0,0
"P160",46.7772916666667,46.782,46.782,46.769,46.801,46.776,46.776,46.776,46.763
"P161",47.0372916666667,47.03,47.037,47.036,47.068,47.037,47.037,47.03,47.03
"P162",47.7164166666667,47.711,47.711,47.711,47.749,47.717,47.717,47.711,47.711
"P163",47.9680416666667,47.959,47.959,47.959,48.01,47.959,47.972,47.965,47.968
"P164",48.2381666666667,48.233,48.233,48.226,48.264,48.239,48.239,48.239,48.239
"P165",48.6028095238095,48.595,48.602,48.601,48.621,48.614,48.595,48.595,0
"P166",49.3586666666667,49.352,0,0,0,0,0,0,0
"P167",49.5336666666667,49.499,0,0,49.575,0,0,0,0
"P168",49.9376666666667,49.931,0,0,0,0,0,0,0
"P169",50.3306666666667,50.319,50.313,50.326,50.358,50.338,50.326,50.338,0
"P170",50.632380952381,50.593,50.612,50.599,50.65,0,50.644,50.612,50.72
"P171",51.0756666666667,0,0,0,51.089,0,0,0,0
"P172",51.5406666666667,0,0,0,51.554,0,0,0,0
"P173",51.7066666666667,0,0,51.7,0,0,0,0,0
"P174",52.0526666666667,0,52.018,0,52.094,0,0,0,0
"P175",52.6166666666667,52.61,0,0,0,0,0,0,0
"P176",52.8766666666667,0,0,0,52.89,0,0,0,0
"P177",54.4881666666667,0,54.531,0,0,54.442,0,0,0
"P178",54.6646666666667,0,0,54.658,0,0,0,0,0
"P179",55.6636666666667,55.657,0,0,0,0,0,0,0
"P180",56.1086666666667,0,0,0,56.122,0,0,0,0
"P181",57.4006666666667,0,57.394,0,0,0,0,0,0
"P182",57.9281666666667,57.884,0,0,57.979,0,0,0,0
