"","mean_RT","H2303_1","L2303_1"
"P1",4.10866666666667,4.112,0
"P2",4.16666666666667,4.17,0
"P3",4.21066666666667,4.214,0
"P4",4.30566666666667,4.309,0
"P5",4.33766666666667,4.341,0
"P6",4.50366666666667,4.507,0
"P7",4.63666666666667,4.64,0
"P8",4.73266666666667,4.736,0
"P9",4.80866666666667,4.825,4.799
"P10",5.04366666666667,5.047,0
"P11",5.15866666666667,5.181,5.143
"P12",5.27266666666667,5.276,0
"P13",5.30466666666667,5.308,0
"P14",5.42566666666667,5.429,0
"P15",5.52766666666667,5.531,0
"P16",5.63266666666667,5.633,5.639
"P17",5.87166666666667,5.875,0
"P18",5.95366666666667,5.957,0
"P19",6.32916666666667,6.32,6.345
"P20",6.44366666666667,6.447,0
"P21",6.62166666666667,6.625,0
"P22",6.72966666666667,6.733,0
"P23",6.97166666666667,0,6.975
"P24",7.12466666666667,7.128,0
"P25",7.34066666666667,7.344,0
"P26",7.86266666666667,7.866,0
"P27",7.98966666666667,0,7.993
"P28",8.19366666666667,8.197,0
"P29",8.38716666666667,8.419,8.362
"P30",8.58166666666667,8.585,0
"P31",8.89316666666667,8.941,8.852
"P32",9.14766666666667,9.151,0
"P33",9.26866666666667,0,9.272
"P34",9.47816666666667,9.507,9.456
"P35",9.64366666666667,9.647,0
"P36",9.87966666666667,9.883,0
"P37",10.1276666666667,10.131,0
"P38",10.1906666666667,10.194,0
"P39",10.3756666666667,10.379,0
"P40",10.5856666666667,0,10.589
"P41",10.7126666666667,10.716,0
"P42",10.8586666666667,0,10.862
"P43",11.2216666666667,11.225,0
"P44",11.6606666666667,0,11.664
"P45",12.0871666666667,12.135,12.046
"P46",12.3036666666667,0,12.307
"P47",12.4746666666667,0,12.478
"P48",12.6786666666667,12.682,0
"P49",12.9296666666667,12.974,12.892
"P50",13.0156666666667,0,13.019
"P51",13.2126666666667,0,13.216
"P52",13.2766666666667,13.28,13.28
"P53",13.4736666666667,0,13.477
"P54",13.5501666666667,13.547,13.56
"P55",13.8996666666667,0,13.903
"P56",14.0111666666667,14.005,14.024
"P57",14.1926666666667,14.196,14.196
"P58",14.3706666666667,14.374,0
"P59",14.7966666666667,14.8,0
"P60",14.9746666666667,14.978,0
"P61",15.0836666666667,0,15.087
"P62",15.3316666666667,0,15.335
"P63",15.4526666666667,15.456,0
"P64",15.6496666666667,15.653,0
"P65",15.7671666666667,15.761,15.78
"P66",15.9226666666667,15.926,0
"P67",15.9961666666667,16.003,15.996
"P68",16.0886666666667,0,16.092
"P69",16.3496666666667,0,16.353
"P70",16.5276666666667,0,16.531
"P71",16.6896666666667,16.722,16.664
"P72",16.9856666666667,0,16.989
"P73",17.1696666666667,17.173,0
"P74",17.2556666666667,17.256,17.262
"P75",17.5706666666667,17.574,0
"P76",17.8886666666667,17.892,0
"P77",18.2421666666667,18.236,18.255
"P78",18.3341666666667,18.325,18.35
"P79",18.5566666666667,18.56,0
"P80",18.6526666666667,18.656,0
"P81",18.9896666666667,18.987,18.999
"P82",19.3396666666667,19.343,0
"P83",19.6226666666667,19.623,19.629
"P84",19.8386666666667,19.839,19.845
"P85",20.0136666666667,0,20.017
"P86",20.1796666666667,0,20.183
"P87",20.3036666666667,20.342,20.272
"P88",20.4371666666667,20.463,20.418
"P89",20.6056666666667,0,20.609
"P90",20.7741666666667,20.768,20.787
"P91",20.9806666666667,20.984,0
"P92",21.1076666666667,21.111,0
"P93",21.2191666666667,21.194,21.251
"P94",21.3176666666667,21.321,0
"P95",22.0181666666667,22.028,22.015
"P96",22.1006666666667,22.104,0
"P97",22.2566666666667,22.238,22.282
"P98",22.3676666666667,22.371,0
"P99",22.6026666666667,22.606,0
"P100",22.8096666666667,22.778,22.848
"P101",23.0486666666667,23.052,23.052
